max_temp,avg_temp,min_temp,Date,precip(in)
81,64.8,50,01-05-2018,0
89,79,66,02-05-2018,0
93,80.5,71,03-05-2018,0
81,76.7,69,04-05-2018,0.01
77,67.7,61,05-05-2018,0
68,60.4,54,06-05-2018,0
75,62.9,55,07-05-2018,0
71,61.7,54,08-05-2018,0
74,64,54,09-05-2018,0
65,59.9,56,10-05-2018,0
72,65.8,61,11-05-2018,0.19
63,55.9,53,12-05-2018,0.06
55,53.5,53,13-05-2018,0.14
70,57.8,52,14-05-2018,0.1
90,68,60,15-05-2018,0
65,59,55,16-05-2018,0.44
73,62,55,17-05-2018,0.64
67,62.7,56,18-05-2018,0.02
56,53.5,51,19-05-2018,0.2
83,70,55,20-05-2018,0.44
78,68,61,21-05-2018,0
69,61.3,56,22-05-2018,0
82,67.5,57,23-05-2018,0.42
85,74.2,66,24-05-2018,0
88,79.5,68,25-05-2018,0
91,82.4,75,26-05-2018,0
82,63.6,57,27-05-2018,0.12
69,60.9,56,28-05-2018,0.41
87,75.1,62,29-05-2018,0
76,65.5,61,30-05-2018,0
69,64.7,62,31-05-2018,0
